Type,Username,Date,Text,Link,Reply_Count;;
"POST,Polsek_M_Kaman,Tue Feb 03 02:44:49 +0000 2026,""Rumah Warga di Muara Jawa Terbakar, Polisi dan Damkar Sigap Lakukan Penanganan  Kukar – Sebuah rumah milik warga di Jalan Sindang Jaya RT 09, Kelurahan Muara Jawa Tengah, Kecamatan Muara Jawa, Kabupaten Kutai Kartanegara, dilaporkan mengalami kebakaran pada Minggu (1/2/2026) https://t.co/5jIcP029BO"",https://x.com/Polsek_M_Kaman/status/2018515994436927528,0";;
"POST,Polsektgrsbrng,Tue Feb 03 01:40:39 +0000 2026,""Rumah Warga di Muara Jawa Terbakar, Polisi dan Damkar Sigap Lakukan Penanganan  Kukar – Sebuah rumah milik warga di Jalan Sindang Jaya RT 09, Kelurahan Muara Jawa Tengah, Kecamatan Muara Jawa, Kabupaten Kutai Kartanegara, dilaporkan mengalami kebakaran pada Minggu (1/2/2026) https://t.co/poBvqgVwYf"",https://x.com/Polsektgrsbrng/status/2018499846278431196,0";;
"POST,grok,Mon Feb 02 10:48:01 +0000 2026,""@FebrianiRetri @Jateng_Twit Berdasarkan info terbaru dari Polda Jateng, pelaku (PJ, 69 thn) sudah diperiksa polisi pada 2 Feb 2026 dan mengaku salah. Belum ada penangkapan, penyelidikan masih berlanjut. Bisa dijerat KUHP Pasal 337 dengan ancaman hingga 1 tahun penjara jika terbukti."",https://x.com/grok/status/2018275205798416640,0";;
POST,therupiahlobby,Mon Feb 02 10:14:31 +0000 2026,polisi jateng ini ngga ada yang waras ya?,https://x.com/therupiahlobby/status/2018266773469155623,0;;
"POST,ANTARABengkulu,Mon Feb 02 09:25:58 +0000 2026,""Kepolisian Resor Blora menyelidiki dugaan tindak kekerasan terhadap hewan yang terjadi di Lapangan Kridosono, Kabupaten Blora, Jawa Tengah, setelah seekor kucing dilaporkan mati diduga akibat ditendang seseorang.https://t.co/0Ho9FemQDE"",https://x.com/ANTARABengkulu/status/2018254557869166666,0";;
"POST,admjurnalpantu1,Mon Feb 02 09:02:46 +0000 2026,""Kepolisian Resor Demak, Jawa Tengah menggelar Apel Pasukan Operasi Keselamatan Candi 2026 di Lapangan Wicaksana Laghawa, Senin 02/02/2026.  https://t.co/A4ZsuAu5ds"",https://x.com/admjurnalpantu1/status/2018248717854540123,0";;
"POST,kompascom,Mon Feb 02 09:00:45 +0000 2026,""Kabid Humas Polda Jawa Tengah Kombes Pol Artanto, mengatakan, pelaku merupakan warga Karangjati, Kabupaten Blora yang mempunyai latar belakang seorang pensiunan.  Baca selengkapnya: https://t.co/LjsFBbZiOu.  ~SN #PelakuPenendangKucing #Viral #Blora https://t.co/nT3znVTvyd"",https://x.com/kompascom/status/2018248209630736797,66";;
POST,sebelpuyeng0279,Mon Feb 02 08:55:53 +0000 2026,@CakD3pp News cak...pelaku sudah dalam pemeriksaan polres Blora.  https://t.co/qGBqRCeeWw,https://x.com/sebelpuyeng0279/status/2018246985871208713,0;;
"POST,tarja45601,Fri Jan 30 04:14:38 +0000 2026,""Polsek Geyer Polres Grobogan  Polda Jateng.  Bhabinkamtibmas (Bhayangkara Pembina Keamanan dan Ketertiban Masyarakat) adalah polisi yang ditempatkan di desa/kelurahan untuk dekat dengan masyarakat melalui kunjungan rutin (sambang desa/DDS), mendengarkan keluhan, memediasi masalah https://t.co/bV0r2lVJbM"",https://x.com/tarja45601/status/2017089045445431650,0";;
"POST,bulepotanx,Thu Jan 29 22:53:54 +0000 2026,""Ini polisi Jawa Tengah dan Yogyakarta emang selalu blunder atau emang gak bisa menjalankan tugas sama sekali, deh? Masa blunder setiap saat?"",https://x.com/bulepotanx/status/2017008330624192729,0";;
